id,event_id,league_name,home_team,away_team,event_time,bet_type,selection,handicap,odds,fair_odds,estimated_roi,result,profit,created_at,updated_at,actual_result
521,180248363,TT Elite Series,Karol Wisniewski,Krzysztof Kapik,2025-08-27 21:30:00,To Win,Away,,2.1,1.4492753623188408,44.9,0.0,-1.0,2025-08-27 12:55:57,2025-08-28 14:47:20,Karol Wisniewski
522,180248377,TT Elite Series,Stanislaw Wnek,Marcin Kowalczyk,2025-08-27 22:00:00,To Win,Away,,3.5,2.5,40.0,0.0,-1.0,2025-08-27 12:55:57,2025-08-28 14:47:20,Stanislaw Wnek
525,180303173,TT Elite Series,Bartosz Czerwinski,Miroslav Sklensky,2025-08-27 23:30:00,To Win,Away,,1.57,1.1494252873563218,36.59,,,2025-08-27 12:55:57,2025-08-27 12:55:57,
530,180303190,TT Elite Series,Mateusz Golebiowski,Michal Murawski,2025-08-28 01:05:00,To Win,Away,,4.5,2.857142857142857,57.499999999999986,0.0,-1.0,2025-08-27 12:55:58,2025-08-28 14:47:20,Mateusz Golebiowski
535,180303195,TT Elite Series,Marcin Jadczyk,Krzysztof Wloczko,2025-08-28 03:15:00,To Win,Away,,2.75,1.8181818181818183,51.249999999999986,1.0,1.75,2025-08-27 12:55:59,2025-08-28 14:47:20,Krzysztof Wloczko
543,180303201,TT Elite Series,Mateusz Golebiowski,Krzysztof Wloczko,2025-08-28 05:35:00,To Win,Away,,3.5,1.6393442622950822,113.49999999999996,0.0,-1.0,2025-08-27 12:55:59,2025-08-28 14:47:20,Mateusz Golebiowski
547,180360914,Czech Liga Pro,Jaroslav Strnad 1964,Tomas Regner,2025-08-29 03:00:00,To Win,Home,,2.62,2.0202020202020203,29.690000000000005,,,2025-08-28 14:47:01,2025-08-28 14:47:01,
548,180360923,Czech Liga Pro,Jiri Havel,Vladimir Kubat,2025-08-29 04:00:00,To Win,Away,,2.25,1.5384615384615388,46.24999999999998,,,2025-08-28 14:47:02,2025-08-28 14:47:02,
551,180360931,Czech Liga Pro,Marek Blejchar,Jiri Stach,2025-08-29 04:30:00,To Win,Home,,3.4,2.5,36.0,,,2025-08-28 14:47:03,2025-08-28 14:47:03,
564,180359170,TT Cup,Pavel Vyvial,Martin Topol,2025-08-28 14:50:00,To Win,Home,,2.37,2.0,18.500000000000007,,,2025-08-28 14:47:05,2025-08-28 14:47:05,
565,180359170,TT Cup,Pavel Vyvial,Martin Topol,2025-08-28 14:50:00,Total,Under U 74.5,74.5,1.83,1.3333333333333333,37.25000000000001,,,2025-08-28 14:47:05,2025-08-28 14:47:05,
566,180359449,TT Cup,Ales Zacharda,Michal Dere,2025-08-28 15:10:00,Total,Under U 73.5,73.5,1.83,1.0,83.0,,,2025-08-28 14:47:05,2025-08-28 14:47:05,
567,180359172,TT Cup,Ales Brandtl Jnr,Martin Topol,2025-08-28 15:20:00,Total,Under U 75.5,75.5,1.83,1.0,83.0,,,2025-08-28 14:47:05,2025-08-28 14:47:05,
568,180359682,TT Cup,Jean-Baptiste Cousin,Lukas Jirka,2025-08-28 15:25:00,To Win,Away,,1.83,1.0,83.0,,,2025-08-28 14:47:05,2025-08-28 14:47:05,
569,180359682,TT Cup,Jean-Baptiste Cousin,Lukas Jirka,2025-08-28 15:25:00,Total,Over O 75.5,75.5,1.83,1.25,46.40000000000002,,,2025-08-28 14:47:05,2025-08-28 14:47:05,
570,180359450,TT Cup,Marek Teiml,Michal Dere,2025-08-28 15:40:00,To Win,Home,,3.4,2.5,36.0,,,2025-08-28 14:47:05,2025-08-28 14:47:05,
